PRODUTOS ALERTADOS;PARECER;DATA RELACIONAMENTO PORTO;NOME LISTA VIGILANCIA;FLAG PEP;FLAG PARTICIPANTE;VALOR RENDA;VALOR RENDA FATURAMENTO;DESCRIÇÃO REVISÃO ANALISE;VALOR SCORE KYCREP;VALOR SCORE OPERACIONAL;VALOR SCORE PARTICIPANTE;VALOR SCORE PRODUTO;VALOR SCORE SOCIO;FLAG PROCESSO EXTERNO ABERTO;VALOR ENVOLVIDO;FLAG DOSSIÊ;UF
Automóvel Frota Porto / Automóvel Porto;COMUNICAR;2014-03-03 00:00:00.0;;false;false;;4725000.0;;150.0;800.0;;145.0;10.0;false;1330672.0;false;SP
PortoPar;;2015-12-10 00:00:00.0;;false;true;;18467.0;;201.0;800.0;201.0;85.0;;false;387284.47;false;SP
PortoPar;;2015-08-22 00:00:00.0;;false;true;;57318.0;;200.0;800.0;170.0;85.0;;false;130931.05;false;SP
Capitalização;;2015-02-13 00:00:00.0;;false;false;;1.0;;155.0;850.0;;80.0;;false;46756.12;false;SP
PortoPar;;2020-02-18 00:00:00.0;;false;false;;5453.0;;200.0;800.0;;85.0;;false;150000.0;true;SP
Cartão;;2018-04-22 00:00:00.0;;false;false;;63893.0;;300.0;600.0;;181.0;;false;67032.0;false;SP
Cartão;;2016-06-29 00:00:00.0;;false;false;;100000.0;;300.0;600.0;;181.0;;false;203469.32;true;SP
Cartão;;2016-06-21 00:00:00.0;;false;false;;71446.0;;100.0;800.0;;181.0;;false;110178.86;false;SP
Capitalização;;2014-01-25 00:00:00.0;;false;false;;58273.0;;150.0;850.0;;80.0;;false;83800.17364355;false;MA
Consórcio;;2024-05-07 00:00:00.0;;false;false;;1.0;;380.0;600.0;;100.0;;false;8204.01;false;SC
Automóvel Porto;;2015-04-24 00:00:00.0;;false;false;;43484.0;;200.0;800.0;;80.0;;false;1200746.0;false;SP
Capitalização;;2023-06-14 00:00:00.0;;false;false;;;;150.0;850.0;;80.0;150.0;false;66425.78820278;false;SP
Automóvel Porto / Saúde;COMUNICAR;2015-08-15 00:00:00.0;;false;true;;21337.0;;120.0;800.0;70.0;155.0;;true;196930.73;false;SP
Cartão;;2015-08-13 00:00:00.0;;false;false;;42750.0;;81.0;800.0;;181.0;;false;84668.11;false;SP
Cartão;;2019-07-11 00:00:00.0;;false;true;;3795.68;;280.0;600.0;191.0;181.0;;false;359000.0;false;MG
Cartão;;2020-12-18 00:00:00.0;;false;false;;39903.0;;80.0;800.0;;181.0;;false;115543.94;false;SP
Cartão;;2015-02-02 00:00:00.0;;false;true;;60163.0;;270.0;610.0;170.0;181.0;;false;71932.63;false;SP
