PRODUTOS ALERTADOS;PARECER;DATA RELACIONAMENTO;NOME LISTA VIGILANCIA;FLAG PEP;FLAG PARTICIPANTE;VALOR RENDA;VALOR RENDA FATURAMENTO;DESCRIÇÃO REVISÃO ANALISE;VALOR SCORE KYCREP;VALOR SCORE OPERACIONAL;VALOR SCORE PARTICIPANTE;VALOR SCORE PRODUTO;VALOR SCORE SOCIO;FLAG PROCESSO EXTERNO ABERTO;VALOR ENVOLVIDO;FLAG DOSSIÊ;UF
Cartão;NAO_COMUNICAR;2013-02-16 00:00:00.0;;false;true;;100000.0;;350.0;610.0;121.0;181.0;;false;296634.38;false;SP
Cartão;NAO_COMUNICAR;2016-05-13 00:00:00.0;;false;true;;100000.0;;350.0;600.0;81.0;181.0;;false;55000.0;false;SC
Cartão;NAO_COMUNICAR;2021-08-25 00:00:00.0;;false;false;;100000.0;;350.0;600.0;;181.0;;false;57700.0;false;SP
Cartão;NAO_COMUNICAR;2015-02-27 00:00:00.0;;false;true;;100000.0;;350.0;600.0;120.0;181.0;;false;63000.0;false;SP
Cartão;NAO_COMUNICAR;2019-08-02 00:00:00.0;;false;false;;100000.0;;350.0;600.0;;181.0;;false;537964.86;false;GO
PortoPar;NAO_COMUNICAR;2013-02-16 00:00:00.0;;false;false;;;;130.0;900.0;;85.0;130.0;false;1134534.12;false;SP
Cartão;COMUNICAR;2015-12-28 00:00:00.0;;false;true;;41027.0;;330.0;600.0;101.0;181.0;;false;190000.0;false;RJ
Cartão;COMUNICAR;2017-11-03 00:00:00.0;;false;true;;40778.0;;330.0;600.0;121.0;181.0;;false;103767.5;false;DF
Cartão;NAO_COMUNICAR;2013-02-16 00:00:00.0;;false;true;;11609.0;;300.0;600.0;81.0;181.0;;false;80987.04;false;RJ
Cartão;COMUNICAR;2015-08-22 00:00:00.0;;false;true;;100000.0;;300.0;600.0;121.0;181.0;;false;71933.4;false;SP
Cartão;NAO_COMUNICAR;2017-08-19 00:00:00.0;;false;true;;100000.0;;300.0;600.0;150.0;181.0;;false;67737.6;false;SP
Cartão;NAO_COMUNICAR;2016-03-30 00:00:00.0;;false;true;;100000.0;;300.0;600.0;81.0;181.0;;false;556500.0;false;SP
Cartão;NAO_COMUNICAR;2015-11-18 00:00:00.0;;false;true;;100000.0;;300.0;600.0;51.0;181.0;;false;619821.0499999999;false;BA
Cartão;NAO_COMUNICAR;2015-08-14 00:00:00.0;;false;false;;100000.0;;270.0;800.0;;0.0;;false;16072.42;false;SP
Cartão;NAO_COMUNICAR;2018-09-29 00:00:00.0;;false;true;;1.25E+8;;270.0;610.0;120.0;181.0;130.0;false;167996.85;false;SP
Consórcio;NAO_COMUNICAR;2019-03-31 00:00:00.0;;false;false;;7719.0;;350.0;600.0;;100.0;;false;8710.35;false;SP
Cartão;NAO_COMUNICAR;2023-05-01 00:00:00.0;;false;true;;49830.0;;255.0;610.0;130.0;181.0;;false;351833.7;false;SP
Cartão;NAO_COMUNICAR;2022-06-16 00:00:00.0;;false;false;;100000.0;;250.0;600.0;;181.0;;false;180000.0;false;PR
Consórcio;NAO_COMUNICAR;2015-10-20 00:00:00.0;;false;false;;1.0;;325.0;600.0;;100.0;;false;11364.87;false;SP
Consórcio;NAO_COMUNICAR;2016-05-04 00:00:00.0;;false;false;;21291.0;;320.0;600.0;;100.0;;false;23987.1;false;SP
Consórcio;NAO_COMUNICAR;2017-12-07 00:00:00.0;;false;false;;1.0;;305.0;600.0;;100.0;;false;26750.2;false;CE
Saúde;NAO_COMUNICAR;2022-03-03 00:00:00.0;;false;false;;11250.0;;430.0;500.0;;75.0;430.0;false;9137.85;false;
Cartão;NAO_COMUNICAR;2013-12-27 00:00:00.0;;false;true;;100000.0;;220.0;600.0;101.0;181.0;;false;119380.0;false;SP
PortoPar;NAO_COMUNICAR;2017-01-05 00:00:00.0;;false;false;;7998.0;;100.0;800.0;;85.0;;false;34661.95;false;SP
PortoPar;NAO_COMUNICAR;2015-08-06 00:00:00.0;;false;false;;8290.0;;100.0;800.0;;85.0;;false;44694.73;false;SP
PortoPar;NAO_COMUNICAR;2016-08-17 00:00:00.0;;false;true;;9202.0;;100.0;800.0;80.0;85.0;;false;33357.71;false;SP
PortoPar;NAO_COMUNICAR;2016-06-29 00:00:00.0;;false;true;;22084.0;;80.0;800.0;80.0;85.0;;false;59953.86;false;RS
Locadora;NAO_COMUNICAR;2022-06-29 00:00:00.0;;false;true;;13333.33333333333;;220.0;600.0;220.0;140.0;220.0;false;286596.9;false;SP
Cartão;NAO_COMUNICAR;2014-02-07 00:00:00.0;;false;true;;33161.0;;370.0;400.0;131.0;181.0;;false;138169.25;true;TO
Locadora;NAO_COMUNICAR;2022-04-30 00:00:00.0;;false;false;;75000.0;;211.0;600.0;;140.0;200.0;false;507089.7;false;SP
Consórcio;NAO_COMUNICAR;2013-09-05 00:00:00.0;;false;false;;16733.0;;245.0;600.0;;100.0;;false;223450.47;true;MT
Cartão;NAO_COMUNICAR;2015-11-18 00:00:00.0;;false;false;;100000.0;;150.0;610.0;;181.0;;false;341172.77;false;SP
Capitalização;NAO_COMUNICAR;2024-06-20 00:00:00.0;;false;false;;;;10.0;850.0;;80.0;;false;300000.0;false;SP
PortoPar;NAO_COMUNICAR;2015-12-21 00:00:00.0;;false;false;;6408.0;;50.0;800.0;;85.0;;false;10312.51;false;SP
Cartão;NAO_COMUNICAR;2014-12-12 00:00:00.0;;false;true;;100000.0;;150.0;600.0;131.0;181.0;;false;305692.01;false;GO
